0.26722,0.67203,0.57192,0.92519,0.6079,0.55893,0.53843,0.89265,3.2204,0.57672,0.49316,0.83811,2
1.1685,0.87184,0.22222,0.90998,1.6783,0.63941,0.30278,0.8279,2.2777,0.77667,0.17693,0.76963,1
1.8757,0.89324,0.4492,0.95041,0.0040135,0.28988,0.99035,0.99799,1.3512,0.87189,0.38656,0.88022,2
0.73817,0.95973,0.46118,0.97741,0.04905,0.57059,0.97347,0.9933,0.60083,0.95142,0.40691,0.88746,2
0.75334,0.65386,0.40576,0.89193,2.6097,0.62929,0.35785,0.8173,1.5399,0.65765,0.36696,0.84422,1
0.40095,0.57702,0.54049,0.91724,0.52442,0.50129,0.52174,0.89073,3.1445,0.59102,0.48072,0.83999,2
2.4906,0.83918,0.49382,0.93781,0.14914,0.78053,0.93864,0.98635,1.7677,0.84127,0.47624,0.89925,2
0.86143,0.77839,0.34635,0.86257,4.1104,0.43274,0.41674,0.79538,2.035,0.68728,0.31189,0.80654,2
0.73001,0.73808,0.49729,0.8989,1.4553,0.40039,0.5138,0.86307,2.0964,0.62181,0.48457,0.84511,1
0.024969,0.75287,0.8825,0.98879,0.62871,0.61205,0.46355,0.90692,1.5492,0.89795,0.28087,0.87049,2
1.2512,0.87664,0.64173,0.96163,0.85029,0.69595,0.51713,0.90497,2.4903,0.80151,0.37925,0.86755,2
0.98765,0.84318,0.62295,0.95357,0.92443,0.68761,0.48719,0.8899,2.3284,0.72631,0.40506,0.85749,2
2.325,0.85522,0.35302,0.93761,0.1932,0.74297,0.87063,0.97359,1.3383,0.8624,0.32348,0.87307,2
0.54069,0.7502,0.78383,0.97223,0.42981,0.674,0.46089,0.92532,4.5954,0.72743,0.24717,0.82051,2
0.21896,0.84244,0.44777,0.94536,0.6659,0.70916,0.41497,0.89355,1.4129,0.81877,0.39342,0.85514,2
1.9293,0.87738,0.21538,0.88389,2.0259,0.60827,0.51962,0.86368,2.5932,0.77659,0.18361,0.79431,2
1.6122,0.7697,0.33591,0.89386,1.764,0.552,0.36467,0.82062,3.1411,0.64675,0.25819,0.76717,2
0.80031,0.40185,0.44263,0.88179,7.9019,0.51541,0.44972,0.81012,1.1561,0.58025,0.43434,0.85494,1
0.53961,0.58051,0.3939,0.87817,4.0012,0.41598,0.40694,0.80857,3.4968,0.62299,0.35075,0.77709,1
2.8495,0.79622,0.35151,0.90374,0.15702,0.57791,0.6864,0.94937,4.0508,0.75035,0.30623,0.81221,1
0.93393,0.78481,0.81588,0.97097,0.29436,0.67035,0.47663,0.93903,2.7462,0.80127,0.34116,0.87907,2
